id,country,description,subDepartment,department,premium,notes,name,number,exampleBrands
categories-AcneCare-26-7738-zrbjj,CA,"Products designed to treat or prevent acne, helping consumers maintain clear skin.",Beauty,Beauty,false,,Acne Care,26,"Neutrogena, Clean & Clear, La Roche-Posay"
categories-AcneTreatments-389RP-7738-1upru,US,"Skin care products designed to treat or prevent acne, including cleansers, lotions, and spot treatments.",Beauty,Beauty,false,,Acne Treatments,389-RP,"Neutrogena, Clean & Clear, Olay, Mario Badescu"
categories-AcneTreatments-389RP-7739-pphhp,CA,"Products designed to treat or prevent acne, helping consumers maintain clear skin.",Pet Supplies,Pets,false,,Acne Treatments,389-RP,"Proactiv, Differin, Paula's Choice"
categories-ActionFiguresPlaysets-555RP-7735-d0mor,CA,"Collectible and playable toys modeled after characters, popular with kids and collectors.",Toys & Games,Toys,false,,Action Figures & Playsets,555-RP,"Hasbro, Mattel, LEGO"
categories-ActionFiguresPlaysets-555RP-7736-610dk,US,Toys featuring figures of characters and themed playsets for interactive play.,Toys & Games,Toys,false,,Action Figures & Playsets,555-RP,"LEGO, Hasbro, Mattel, Funko"
categories-AdultIncontinence-182-7733-6ier0,CA,"Absorbent underwear, pads, and related incontinence products for adults.",Personal Care & Health,Health & Wellness,false,,Adult Incontinence,182,"Depend, Always Discreet, TENA"
categories-AdultIncontinence-182-7733-dtm55,US,"Products designed to manage urinary or fecal incontinence in adults, such as adult diapers and pads.",Personal Care,Personal Care,false,,Adult Incontinence,182,"Depend, Prevail, Tena, Always Discreet"
categories-AdultOralCare-320-7732-1dbaw,US,"Oral hygiene products designed for adults, including toothpaste, mouthwash, and floss.",Oral Care,Personal Care,false,,Adult Oral Care,320,"Crest, Oral-B, Colgate, Sensodyne"
categories-AdultOralCare-320-9886-gx2en,CA,"Products to clean teeth and freshen breath, part of daily hygiene.",Oral Care,Health & Wellness,false,,Adult Oral Care,320,"Colgate, Crest, Oral-B, Life Brand"
categories-AirFilters-470RP-7728-f9g9w,US,"Replacement filters for air, and HVAC systems, designed to improve air quality.",Home Improvement,Home Improvement,false,,Air Filters,470-RP,"3M, Honeywell, GE"
categories-AirFilters-470RP-7735-72xvw,CA,"Home filters that help remove dust, pollen, and allergens from the air.",Miscellaneous,General Merchandise,false,,Air Filters,470-RP,"Honeywell, Filtrete, GermGuardian"
categories-AirFresheners-118-7734-pjhrl,US,Products designed to eliminate odors and add fragrance to indoor spaces.,Household Essentials,Household Essentials,false,,Air Fresheners,118,"Febreze, Glade, Air Wick, Lysol"
categories-AirFresheners-118-9887-5dx4z,CA,"Sprays, plug-ins, and other products for eliminating odors and freshening air.",Miscellaneous,General Merchandise,false,,Air Fresheners,118,"Febreze, Glade, Air Wick, President's Choice"
categories-AirMattresses-611RP-8742-3aj3k,US,"Inflatable mattresses designed for sleeping, often used in camping or as temporary bedding.",Camping,Sports & Outdoor,false,,Air Mattresses,611-RP,"SoundAsleep, Intex, Coleman, Serta"
categories-AirMattresses-611RP-8749-1bgsj,CA,Inflatable mattresses for indoor or outdoor use.,Miscellaneous,General Merchandise,false,,Air Mattresses,611-RP,"Coleman, Intex, Outbound (Canadian Tire), Woods"
categories-Allergy-CA346RP224-8750-tqzi2,CA,"Over-the-counter remedies for allergy relief, including tablets, liquids, sprays, and related products sold in retail stores.",OTC Medicine & Supplements,Health & Wellness,false,,Allergy,CA-346-RP | 224,"Reactine, Claritin, Aerius, Benadryl"
categories-AllergyMedicine-364RP-7730-6v5dq,US,"Medications used to treat allergic reactions, such as antihistamines and decongestants.",Health & Medicine,"Pharmacy, Health & Wellness",false,,Allergy Medicine,364-RP,"Claritin, Zyrtec, Allegra, Flonase"
categories-AllergyMedicine-364RP-8745-rrzwi,CA,"Antihistamines, decongestants, and other allergy relief medications.",OTC Medicine & Supplements,Health & Wellness,false,,Allergy Medicine,364-RP,"Reactine, Claritin, Aerius, Benadryl"
categories-AnnabelleCosmetics-281-8746-q0xor,CA,"Cosmetic products from Annabelle, including makeup and beauty items sold in retail stores.",Personal Care & Beauty,Beauty,false,,Annabelle Cosmetics,281,Annabelle (Canada)
categories-AntiFreezeCoolants-715RP-7739-no6gz,US,General use across most vehicles â compatible with all types of radiators and cooling systems.,Oils & Fluids,Auto & Tires,false,,Anti-Freeze/Coolants,715-RP,"Prestone, Peak, Zerex (by Valvoline), Havoline, OEM Brand Coolants (Honda, Toyota, Ford, GM, etc."
categories-AntiFreezeCoolants-715RP-8745-ywlqo,CA,Automotive antifreeze and engine coolants.,Miscellaneous,General Merchandise,false,,Anti-Freeze/Coolants,715-RP,"Prestone, Zerex, Canadian Tire Motomaster, Peak"
categories-ApparelCrafts-668RP-8742-nrk6n,US,"Crafting materials and supplies used for making apparel, such as fabric paint and patches.",Arts Crafts & Sewing,"Arts, Crafts, Sewing & Party Supplies",false,,Apparel Crafts,668-RP,"Simplicity, Cricut, Singer, Joann Fabrics"
categories-ApparelCrafts-668RP-9887-wmbit,CA,"Supplies for sewing, embroidery, and custom apparel projects.",Office Supplies & Crafts,Office & Crafts,false,,Apparel Crafts,668-RP,"Michaels, DeSerres, Tulip, Loops & Threads"
categories-Apples-120-7733-hcojo,CA,"Fresh fruit, a staple produce item for snacking and cooking.",Produce,Grocery,false,,Apples,120,"Dole, Del Monte, Stemilt"
categories-Apples-120-7735-1nzls,US,"A popular fruit, often eaten fresh or used in baking and cooking.",Fresh Fruits,Grocery,false,,Apples,120,"Honeycrisp, Gala, Fuji, Granny Smith"
categories-Appliances-491RP-8744-au4cq,US,"Large and small household machines used for cooking, cleaning, and maintaining a home.",Home,"Home, Furniture & Appliances",false,,Appliances,491-RP,"Whirlpool, GE, Samsung, LG"
categories-Appliances-491RP-8749-hplyp,CA,Large and small household kitchen appliances.,Kitchen & Appliances,Home,false,,Appliances,491-RP,"Whirlpool, GE, LG, Samsung"
categories-Apricots-126-8743-zjmz6,US,"Small, sweet, and tangy fruits often eaten fresh or dried.",Fresh Fruits,Grocery,false,,Apricots,126,"SunMaid, Del Monte, Dole, Mariani"
categories-Apricots-126-8747-3a5bc,CA,Fresh apricots sold in produce sections.,Miscellaneous,General Merchandise,false,,Apricots,126,"Dole, Del Monte, Compliments, President's Choice"
