weeklyQuota,retailer,monthlyQuota,country,id,name
17,Woolworth’s,68,AU,storeLists-AustraliaStandardMix-202-dutaq,Australia - Standard Mix
3,Foodworks,12,AU,storeLists-AustraliaStandardMix-202-g2jep,Australia - Standard Mix
17,Cole’s,68,AU,storeLists-AustraliaStandardMix-202-mp9hi,Australia - Standard Mix
8,Aldi,32,AU,storeLists-AustraliaStandardMix-202-pajsz,Australia - Standard Mix
5,IGA,20,AU,storeLists-AustraliaStandardMix-202-txgn2,Australia - Standard Mix
25,Walmart,100,US,storeLists-Auto-202-1755f,Auto
15,Auto Zone,60,US,storeLists-Auto-202-9gs4p,Auto
5,Sam's Club,20,US,storeLists-Auto-202-afnwa,Auto
15,O'Reilly's,60,US,storeLists-Auto-202-ayvn0,Auto
15,Target,60,US,storeLists-Auto-202-erp6s,Auto
10,Costco,40,US,storeLists-Auto-202-ryedc,Auto
15,Advanced Auto Parts,60,US,storeLists-Auto-202-stzh0,Auto
4,London Drugs,16,CA,storeLists-Auto-204-02h91,Auto
3,Costco ON,10,CA,storeLists-Auto-204-0elpi,Auto
4,Fountain Tire,16,CA,storeLists-Auto-204-6ve31,Auto
2,Giant Tiger QC,8,CA,storeLists-Auto-204-83kqi,Auto
3,Walmart WEST,12,CA,storeLists-Auto-204-aoyqk,Auto
4,Fountain Tire,16,CA,storeLists-Auto-204-cpod9,Auto
3,Costco WEST,10,CA,storeLists-Auto-204-eg3ws,Auto
2,Giant Tiger WEST,8,CA,storeLists-Auto-204-ehqey,Auto
2,Giant Tiger ATL,8,CA,storeLists-Auto-204-f4xki,Auto
4,Tirecraft,16,CA,storeLists-Auto-204-fb6hp,Auto
4,Princess Auto,16,CA,storeLists-Auto-204-h841r,Auto
3,Walmart QC,12,CA,storeLists-Auto-204-kynbo,Auto
3,Walmart ON,12,CA,storeLists-Auto-204-lg0pj,Auto
3,Costco ATL,10,CA,storeLists-Auto-204-lsmbj,Auto
3,Canadian Tire ATL,12,CA,storeLists-Auto-204-mjoto,Auto
3,Canadian Tire ON,12,CA,storeLists-Auto-204-p5y9l,Auto
3,Canadian Tire WEST,12,CA,storeLists-Auto-204-qpl5r,Auto
3,Costco QC,10,CA,storeLists-Auto-204-rgfdh,Auto
2,Giant Tiger ON,8,CA,storeLists-Auto-204-t1lgq,Auto
4,NAPA Auto Parts,16,CA,storeLists-Auto-204-vzitp,Auto
3,Canadian Tire QC,12,CA,storeLists-Auto-204-wd81m,Auto
3,Walmart ATL,12,CA,storeLists-Auto-204-wn1ub,Auto
4,OK Tire,16,CA,storeLists-Auto-204-zv7jb,Auto
10,BJ's,40,US,storeLists-Club-202-beh46,Club
25,Sam's Club,100,US,storeLists-Club-202-cl38h,Club
65,Costco,260,US,storeLists-Club-202-w2wp1,Club
25,Walmart,100,US,storeLists-ConsumerElectronics-202-4mf0o,Consumer Electronics
35,Best Buy,140,US,storeLists-ConsumerElectronics-202-9buva,Consumer Electronics
10,Costco,40,US,storeLists-ConsumerElectronics-202-n2dn8,Consumer Electronics
20,Target,80,US,storeLists-ConsumerElectronics-202-o62rz,Consumer Electronics
10,Sam's Club,40,US,storeLists-ConsumerElectronics-202-o7l17,Consumer Electronics
20,Costco,80,US,0rVGQPh9kxEge5TBCyw4,Consumer Electronics - Small Kitchen Appliances
10,Sam's Club,40,US,8IMOqIItQkoWEsk0u4tO,Consumer Electronics - Small Kitchen Appliances
30,Target,120,US,P87vUDpLalUFT4qrFEIH,Consumer Electronics - Small Kitchen Appliances
30,Walmart,120,US,qZKGQV2TyrC21UoVFJwV,Consumer Electronics - Small Kitchen Appliances
10,Best Buy,40,US,uszNN6OWkdPDWneDq2vA,Consumer Electronics - Small Kitchen Appliances
20,Shell,80,US,storeLists-ConvenienceStore-202-gxxyp,Convenience Store
15,Circle K,60,US,storeLists-ConvenienceStore-202-jz3um,Convenience Store
20,7-Eleven,80,US,storeLists-ConvenienceStore-202-lvova,Convenience Store
4,Sunoco,16,US,storeLists-ConvenienceStore-203-16jgc,Convenience Store
4,QuikTrip,16,US,storeLists-ConvenienceStore-203-2pv9o,Convenience Store
4,Murphy USA,16,US,storeLists-ConvenienceStore-203-7kpe5,Convenience Store
10,BP,40,US,storeLists-ConvenienceStore-203-a39lx,Convenience Store
2,Fas Mart,8,US,storeLists-ConvenienceStore-203-ce4q4,Convenience Store
3,Sheetz,12,US,storeLists-ConvenienceStore-203-f0ouw,Convenience Store
4,Wawa,16,US,storeLists-ConvenienceStore-203-ftwzk,Convenience Store
4,Speedway,16,US,storeLists-ConvenienceStore-203-i8rp2,Convenience Store
4,Casey's General Store,16,US,storeLists-ConvenienceStore-203-pnkv7,Convenience Store
4,Cumberland Farms,16,US,storeLists-ConvenienceStore-203-ruqzb,Convenience Store
2,Loves Travel,8,US,storeLists-ConvenienceStore-203-rvrm7,Convenience Store
3,Uniprix,12,CA,storeLists-Cosmetics-2139-01ciy,Cosmetics
4,Walmart QC,16,CA,storeLists-Cosmetics-2139-3oh6p,Cosmetics
2,Brunet,8,CA,storeLists-Cosmetics-2139-4aghu,Cosmetics
4,Shoppers Drug Mart  QC,16,CA,storeLists-Cosmetics-2139-4vlje,Cosmetics
3,Walmart ATL,12,CA,storeLists-Cosmetics-2139-4yk9o,Cosmetics
5,Real Canadian Superstore WEST,20,CA,storeLists-Cosmetics-2139-6gvel,Cosmetics
1,Dominion,4,CA,storeLists-Cosmetics-2139-7vro3,Cosmetics
2,Sephora Canada,8,CA,storeLists-Cosmetics-2139-9ss91,Cosmetics
6,Walmart ON,24,CA,storeLists-Cosmetics-2139-dtngv,Cosmetics
3,Shoppers Drug Mart  ATL,12,CA,storeLists-Cosmetics-2139-huie2,Cosmetics
2,London Drugs,8,CA,storeLists-Cosmetics-2139-jyg0h,Cosmetics
2,Rexall ON,8,CA,storeLists-Cosmetics-2139-lxsyc,Cosmetics
3,Rexall WEST,12,CA,storeLists-Cosmetics-2139-ma9oc,Cosmetics
6,Shoppers Drug Mart  WEST,24,CA,storeLists-Cosmetics-2139-mozin,Cosmetics
3,Lawtons,12,CA,storeLists-Cosmetics-2139-ntn17,Cosmetics
2,Loblaws,8,CA,storeLists-Cosmetics-2139-pt1vt,Cosmetics
2,Familiprix,8,CA,storeLists-Cosmetics-2139-q62z6,Cosmetics
4,Shoppers Drug Mart  ON,16,CA,storeLists-Cosmetics-2139-s0v7p,Cosmetics
2,Real Atlantic Superstore,8,CA,storeLists-Cosmetics-2139-s6r4h,Cosmetics
5,Walmart WEST,20,CA,storeLists-Cosmetics-2139-sypri,Cosmetics
2,Real Canadian Superstore ON,8,CA,storeLists-Cosmetics-2139-x4k4j,Cosmetics
4,Jean Coutu,16,CA,storeLists-Cosmetics-2139-y6n5c,Cosmetics
15,TIA,60,EC,storeLists-EcuadorStandardMix-201-a7uum,Ecuador - Standard Mix
4,AKI,16,EC,storeLists-EcuadorStandardMix-201-ei880,Ecuador - Standard Mix
21,TUTI,84,EC,storeLists-EcuadorStandardMix-201-p59cj,Ecuador - Standard Mix
4,SUPERMAXI,16,EC,storeLists-EcuadorStandardMix-202-hjs3h,Ecuador - Standard Mix
2,CORAL,8,EC,storeLists-EcuadorStandardMix-202-ip2l6,Ecuador - Standard Mix
4,MI COMISARIATO,16,EC,storeLists-EcuadorStandardMix-202-zol65,Ecuador - Standard Mix
25,Walmart,100,US,storeLists-GeneralMerchandise-203-8pc1x,General Merchandise
5,CVS,20,US,storeLists-GeneralMerchandise-203-dug1s,General Merchandise
5,Family Dollar,20,US,storeLists-GeneralMerchandise-203-fs77e,General Merchandise
5,Walgreens,20,US,storeLists-GeneralMerchandise-203-keud8,General Merchandise
